Name,Rebounds,Fouls,Points,Salary
Tarik Black,157,78,133,6191000
Terrence Jones,211,86,434,1050961
Terrence Ross,185,120,720,10000000
Terry Rozier,63,23,72,1906440
Thabo Sefolosha,334,109,480,3850000
Thaddeus Young,660,182,1102,14153652
Thomas Robinson,359,111,307,1050961
Tiago Splitter,120,71,201,8550000
Tibor Pleiss,15,19,24,3000000
Tim Duncan,447,125,522,1881250
Tim Frazier,220,146,522,2090000
Tim Hardaway,86,48,326,2281605
Timofey Mozgov,337,159,475,16000000
Tobias Harris,1020,306,2232,17200000
Tony Allen,296,175,535,5505618
Tony Parker,176,114,857,14445313
Tony Snell,199,100,338,2368327
Tony Wroten,21,11,67,25000
Trevor Ariza,366,177,1025,7806971
Trevor Booker,452,169,463,9250000
Trey Burke,112,86,679,3386598
Trey Lyles,299,114,488,2340600
Tristan Thompson,738,202,643,15330435
Troy Daniels,57,40,242,3332940
Ty Lawson,240,174,746,1315448
Tyler Ennis,75,64,206,1733880
Tyler Johnson,109,66,314,5628000
Tyler Zeller,178,97,364,8000000
Tyreke Evans,129,66,379,10203755
Tyson Chandler,576,145,472,12415000
Tyus Jones,47,33,156,1339680
Udonis Haslem,75,25,59,4000000
Victor Oladipo,345,174,1153,6552960
Vince Carter,146,101,395,4264057
Walter Tavares,21,8,25,1000000
Wayne Ellington,174,82,586,6000000
Wesley Johnson,248,173,549,5628000
Wesley Matthews,238,179,977,17100000
Will Barton,476,147,1178,3533333
Willie Cauley-Stein,352,146,463,3551160
Willie Reed,122,47,182,1015696
Zach LaVine,228,193,1150,2240880
Zach Randolph,529,146,1040,10361445
